File_1,File_2,Label,AST_1,AST_2
submission1.py,submission2.py,1,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])"
submission1.py,submission3.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Sub(), Name('var_3', Load())))])])"
submission1.py,submission4.py,1,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Assign([Name('var_2', Store())], BinOp(Name('var_3', Load()), Add(), Name('var_4', Load()))), Return(Name('var_2', Load()))])])"
submission1.py,submission5.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Mult(), Name('var_3', Load())))])])"
submission2.py,submission3.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Sub(), Name('var_3', Load())))])])"
submission2.py,submission4.py,1,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Assign([Name('var_2', Store())], BinOp(Name('var_3', Load()), Add(), Name('var_4', Load()))), Return(Name('var_2', Load()))])])"
submission2.py,submission5.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Add(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Mult(), Name('var_3', Load())))])])"
submission3.py,submission4.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Sub(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Assign([Name('var_2', Store())], BinOp(Name('var_3', Load()), Add(), Name('var_4', Load()))), Return(Name('var_2', Load()))])])"
submission3.py,submission5.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Sub(), Name('var_3', Load())))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Mult(), Name('var_3', Load())))])])"
submission4.py,submission5.py,0,"Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Assign([Name('var_2', Store())], BinOp(Name('var_3', Load()), Add(), Name('var_4', Load()))), Return(Name('var_2', Load()))])])","Module([FunctionDef('func_1', arguments([], [arg('a'), arg('b')]), [Return(BinOp(Name('var_2', Load()), Mult(), Name('var_3', Load())))])])"
submission6.py,submission7.py,1,"Module([FunctionDef('func_1', arguments([], [arg('arr')]), [Assign([Name('var_2', Store())], Call(Name('var_3', Load()), [Name('var_4', Load())])), For(Name('var_5', Store()), Call(Name('var_6', Load()), [Name('var_2', Load())]), [For(Name('var_7', Store()), Call(Name('var_6', Load()), [Constant(0), BinOp(BinOp(Name('var_2', Load()), Sub(), Name('var_5', Load())), Sub(), Constant(1))]), [If(Compare(Subscript(Name('var_4', Load()), Name('var_7', Load()), Load()), [Gt()], [Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Load())]), [Assign([Tuple([Subscript(Name('var_4', Load()), Name('var_7', Load()), Store()), Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Store())], Store())], Tuple([Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Load()), Subscript(Name('var_4', Load()), Name('var_7', Load()), Load())], Load()))])])])]), Assign([Name('var_8', Store())], List([Constant(64), Constant(34), Constant(25), Constant(12), Constant(22), Constant(11), Constant(90)], Load())), Expr(Call(Name('func_1', Load()), [Name('var_8', Load())])), Expr(Call(Name('var_9', Load()), [Constant('Sorted array is:'), Name('var_8', Load())]))])","Module([FunctionDef('func_1', arguments([], [arg('array')]), [Assign([Name('var_2', Store())], Call(Name('var_3', Load()), [Name('var_4', Load())])), For(Name('var_5', Store()), Call(Name('var_6', Load()), [Name('var_2', Load())]), [For(Name('var_7', Store()), Call(Name('var_6', Load()), [Constant(0), BinOp(BinOp(Name('var_2', Load()), Sub(), Name('var_5', Load())), Sub(), Constant(1))]), [If(Compare(Subscript(Name('var_4', Load()), Name('var_7', Load()), Load()), [Gt()], [Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Load())]), [Assign([Tuple([Subscript(Name('var_4', Load()), Name('var_7', Load()), Store()), Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Store())], Store())], Tuple([Subscript(Name('var_4', Load()), BinOp(Name('var_7', Load()), Add(), Constant(1)), Load()), Subscript(Name('var_4', Load()), Name('var_7', Load()), Load())], Load()))])])])]), Assign([Name('var_8', Store())], List([Constant(64), Constant(34), Constant(25), Constant(12), Constant(22), Constant(11), Constant(90)], Load())), Expr(Call(Name('func_1', Load()), [Name('var_8', Load())])), Expr(Call(Name('var_9', Load()), [Constant('Sorted array:'), Name('var_8', Load())]))])"
submission8.py,submission9.py,1,"Module([FunctionDef('func_1', arguments([], [arg('n')]), [Assign([Tuple([Name('var_2', Store()), Name('var_3', Store())], Store())], Tuple([Constant(0), Constant(1)], Load())), For(Name('var_4', Store()), Call(Name('var_5', Load()), [Name('var_6', Load())]), [Assign([Tuple([Name('var_2', Store()), Name('var_3', Store())], Store())], Tuple([Name('var_3', Load()), BinOp(Name('var_2', Load()), Add(), Name('var_3', Load()))], Load()))]), Return(Name('var_2', Load()))]), Assign([Name('var_7', Store())], Call(Name('func_1', Load()), [Constant(10)])), Expr(Call(Name('var_8', Load()), [Constant('10th Fibonacci number is:'), Name('var_7', Load())]))])","Module([FunctionDef('func_1', arguments([], [arg('n')]), [Assign([Tuple([Name('var_2', Store()), Name('var_3', Store())], Store())], Tuple([Constant(0), Constant(1)], Load())), For(Name('var_4', Store()), Call(Name('var_5', Load()), [Name('var_6', Load())]), [Assign([Tuple([Name('var_2', Store()), Name('var_3', Store())], Store())], Tuple([Name('var_3', Load()), BinOp(Name('var_2', Load()), Add(), Name('var_3', Load()))], Load()))]), Return(Name('var_2', Load()))]), Assign([Name('var_7', Store())], Call(Name('func_1', Load()), [Constant(10)])), Expr(Call(Name('var_8', Load()), [Constant('10th Fibonacci number:'), Name('var_7', Load())]))])"
submission10.py,submission11.py,0,"Module([Import([alias('math')]), FunctionDef('func_1', arguments([], [arg('n')]), [Return(Call(Attribute(Name('var_2', Load()), 'factorial', Load()), [Name('var_3', Load())]))]), Expr(Call(Name('var_4', Load()), [Call(Name('func_1', Load()), [Constant(5)])]))])","Module([FunctionDef('func_1', arguments([], [arg('n')]), [Assign([Name('var_2', Store())], Constant(1)), For(Name('var_3', Store()), Call(Name('var_4', Load()), [Name('var_5', Load()), Constant(0), UnaryOp(USub(), Constant(1))]), [AugAssign(Name('var_2', Store()), Mult(), Name('var_3', Load()))]), Return(Name('var_2', Load()))]), Expr(Call(Name('var_6', Load()), [Call(Name('func_1', Load()), [Constant(5)])]))])"
submission12.py,submission13.py,0,"Module([FunctionDef('func_1', arguments([], [arg('n')]), [If(Compare(Name('var_2', Load()), [LtE()], [Constant(1)]), [Return(Constant(1))], [Return(BinOp(Name('var_2', Load()), Mult(), Call(Name('func_1', Load()), [BinOp(Name('var_2', Load()), Sub(), Constant(1))])))])]), Expr(Call(Name('var_3', Load()), [Call(Name('func_1', Load()), [Constant(5)])]))])","Module([FunctionDef('func_1', arguments([], [arg('n')]), [Assign([Name('var_2', Store())], Constant(1)), For(Name('var_3', Store()), Call(Name('var_4', Load()), [Constant(2), BinOp(Name('var_5', Load()), Add(), Constant(1))]), [AugAssign(Name('var_2', Store()), Mult(), Name('var_3', Load()))]), Return(Name('var_2', Load()))]), Expr(Call(Name('var_6', Load()), [Call(Name('func_1', Load()), [Constant(5)])]))])"
